id,scheme,developer,location,region,lat,lng,capacity_mw,capacity_note,planning_status,water_company,water_stressed,flags,source_url
1,Culham Campus AI Growth Zone,UKAEA / DSIT,"Culham, Oxfordshire",South East,51.656,-1.232,100,Scaling to ~500MW,Announced,Thames Water,true,AIGZ flagship,https://www.datacenterdynamics.com/en/news/first-ai-growth-zone-in-the-uk-may-implement-waste-heat-recycling/
2,CloudHQ Didcot A campus,CloudHQ,"Didcot, Oxfordshire",South East,51.606,-1.243,100,Expandable to 300MW; £1.9bn,Approved,Thames Water,true,,https://theoxfordmagazine.com/news/us-tech-firm-cloudhq-to-develop-1-9bn-data-centre-campus-in-didcot/
3,Graven Hill data centre,Not named,"Bicester, Oxfordshire",South East,51.894,-1.15,,Undisclosed,Outline approved 2023,Thames Water,true,Developer unverified,https://www.datacenterdynamics.com/en/news/planning-decision-on-data-center-project-in-oxfordshire-uk-delayed/
4,SDC M40 Campus,SDC Capital Partners + Veolia,"Beaconsfield, Buckinghamshire",South East,51.61,-0.644,300,3 x 100MW,Submitted (NSIP/DCO),Affinity Water,true,First DC NSIP direction,https://www.computerweekly.com/news/366640595/Bucks-landfill-datacentre-first-to-get-Nationally-Significant-status
5,"Court Lane, Iver",Corescale,"Iver, Buckinghamshire",South East,51.52,-0.503,140,,Approved (legal challenge),Affinity Water,true,First DC legal challenge,https://www.foxglove.org.uk/2025/08/21/new-case-launch-uk-first-legal-challenge-data-centre/
6,West London Technology Park,Greystoke Land,"Iver Heath, Buckinghamshire",South East,51.535,-0.524,,"~72,000 sqm",Approved (likely quashed),Affinity Water,true,Consent in jeopardy,https://www.datacenterdynamics.com/en/news/planning-permission-for-buckinghamshire-data-center-likely-to-be-quashed-after-uk-government-admits-serious-logical-error/
7,AWS Thorney Lane Business Park,Amazon Data Services UK,"Iver, Buckinghamshire",South East,51.514,-0.49,,2 buildings,Submitted (2025),Affinity Water,true,,https://www.maidenhead-advertiser.co.uk/news/public-notices/703861/public-notices-application-to-build-data-centre-buildings-at-thorney-business-park.html
8,AWS Ridgeway Distribution Centre,Amazon Data Services,"Iver, Buckinghamshire",South East,51.512,-0.486,,"~30,525 sqm",Submitted,Affinity Water,true,May overlap Thorney Lane,https://www.datacenterdynamics.com/en/news/aws-files-to-develop-data-center-outside-london-uk/
9,Virtus Saunderton campus,Virtus Data Centres,"Saunderton, Buckinghamshire",South East,51.665,-0.834,,Colocation campus,Under construction,Thames Water,true,,https://www.computerweekly.com/news/366570392/Virtus-to-open-colocation-campus-in-Buckinghamshire-as-demand-for-london-datacentres-soars
10,AWS-linked Houghton Regis DCs,Colliers Properties (AWS partner),"Houghton Regis, Bedfordshire",East of England,51.903,-0.524,,~114.8m kWh/yr,Submitted,Affinity Water,true,,https://www.datacenterdynamics.com/en/news/aws-files-to-develop-data-center-outside-london-uk/
